sample_id,Strain,Salt,A,C,Dispersed
351,gcy-22 (csu80),NaAc,5,62,137
352,gcy-22 (csu80),NaAc,5,42,116
353,gcy-22 (csu80),NaAc,5,29,83
354,gcy-22 (csu80),NaAc,16,37,139
355,gcy-22 (csu80),NaAc,9,61,82
356,gcy-22 (csu80),NaAc,7,47,74
357,gcy-22 (csu80),NaAc,1,16,54
358,gcy-22 (csu80),NaAc,1,30,46
359,gcy-22 (csu80),NaAc,1,17,37
360,gcy-22 (csu80),NaAc,0,18,40
361,gcy-22 (csu80),NaAc,0,26,54
